Word/Phrase	Category
pimenta	VERB
pintar	VERB
piquenique	ADJ
pires	NOUN
piscina	VERB
pista	NOUN
placa	VERB
plano	ADJ
planta	VERB
plástico	ADJ
pneu	NOUN
pobre	ADJ
podcast	VERB
poder	NOUN
polícia	NOUN
poltrona	VERB
poluição	NOUN
ponte	NOUN
ponto	NOUN
pontual	ADJ
popular	ADJ
por	ADP
pôr	VERB
porque	SCONJ
porque...?	SCONJ
porquinho-da-índia	NOUN
porta	NOUN
porta-chaves//chaveiro	NOUN
porta-moedas	NOUN
portão	VERB
porto	PROPN
possível	ADJ
poster	VERB
pouco	ADV
poupar	VERB
pousada	VERB
praça	NOUN
praia	NOUN
prancha	VERB
prata	NOUN
prateleira	ADJ
praticar	VERB
prato	NOUN
precisar	VERB
preço	NOUN
prédio	NOUN
preencher	VERB
prémio	NOUN
premir	VERB
prenda	VERB
preparar	VERB
preto	ADJ
previsão	NOUN
primeiro	ADV
primo	ADJ
principal	ADJ
princípio	NOUN
problema	NOUN
procurar	VERB
procurer	VERB
produto	NOUN
professor	NOUN
profissão	NOUN
profundo	VERB
programa	NOUN
programador	NOUN
proibir	VERB
próprio	ADJ
próximo	ADV
pulôver	VERB
pulseira	ADJ
puré	NOUN
purpúreo	NOUN
puxar	VERB
quadro	NOUN
qual?	PRON
qualidade	NOUN
quando	ADV
quando?	ADV
quanto	ADV
quantos?	PRON
quarto	ADJ
quartos	NOUN
quase	ADV
que	SCONJ
queda	NOUN
queijo	ADV
queimadura	NOUN
quente	ADJ
querer	VERB
quilómetro	NOUN
química	NOUN
quinta	ADJ
quiosque	NOUN
radiador	NOUN
rádio	NOUN
rapaz	ADJ
rápido	ADV
raqueta	NOUN
rato	NOUN
receber	VERB
receção	NOUN
rececionista	ADJ
receita	NOUN
recentemente	ADV
recepção	NOUN
recibo	NOUN
recinto	NOUN
recreio	NOUN
rede	NOUN
redondo	VERB
refeição	NOUN
refrescos	ADJ
região	NOUN
régua	NOUN
relógio	NOUN
relva	NOUN
relvado	VERB
remar	VERB
reparos	NOUN
repetir	VERB
repórter	VERB
rés-do-chão	NOUN
reservar	VERB
responder	VERB
resposta	NOUN
restaurante	NOUN
reunião	NOUN
revista	NOUN
riacho	NOUN
rico	ADJ
rio	NOUN
rir	VERB
rissol	NOUN
robe	VERB
romance	NOUN
rosa	ADJ
roupa	NOUN
rua	NOUN
saber	VERB
sabonete	NOUN
saco	ADJ
saco-cama	NOUN
saia	VERB
saída	NOUN
sair	VERB
sal	ADJ
sala	NOUN
salada	VERB
salário	NOUN
saldo	NOUN
salmão	NOUN
salsichas	NOUN
saltar	VERB
sandália	NOUN
sandes	NOUN
sapato	NOUN
satisfatório	ADJ
saudação	NOUN
saudável	ADJ
scooter	VERB
secar	VERB
seco	ADJ
secretária	VERB
secretário	NOUN
seda	NOUN
sede	NOUN
seguinte	ADJ
segundo	ADP
selo	NOUN
selvagem	NOUN
sem	ADP
semáforos	NOUN
semanada	VERB
sempre	ADV
senhora	NOUN
sentar-se	VERB
sentirse	VERB
separado	VERB
série	NOUN
serviço	NOUN
servir	VERB
setor	NOUN
sexto	ADJ
silo	NOUN
sim	ADV
simpático	ADJ
slip	PROPN
snack-bar	VERB
só	ADV
sobremesa	NOUN
sobrinha	VERB
sobrinho	NOUN
socorro	NOUN
sofá	NOUN
sol	NOUN
soldado	NOUN
soletrar	VERB
solteiro	ADJ
sopa	NOUN
sorrir	VERB
Sorte	PROPN
soutien	VERB
subir	VERB
suburbia	VERB
sujo	NOUN
sul	NOUN
sumo	NOUN
supermercado	VERB
surpreendente	ADJ
surpresa	NOUN
talho	NOUN
talvez	ADV
tamanho	NOUN
também	ADV
tambores	NOUN
tanto…	DET
tão	ADV
tão...como	ADV
tarde	ADV
tarifa	NOUN
tartaruga	VERB
tarte	NOUN
teatro	NOUN
tecnologia	NOUN
telefonar	VERB
telemóvel	ADJ
televisão	NOUN
telhado	VERB
tempestade	NOUN
tempo	NOUN
tenda	VERB
ténis	NOUN
tentar	VERB
ter	VERB
terrível	ADJ
tesoura	NOUN
teste	VERB
teto	NOUN
tia	NOUN
tigela	NOUN
tigre	ADJ
tijolo	NOUN
tio	NOUN
tipo	NOUN
tira-cápsulas	NOUN
toalha	ADJ
tocar	VERB
todo	DET
todos	PRON
tolice	NOUN
tomar	VERB
tomate	NOUN
toranja	VERB
tornar-se	VERB
torneira	NOUN
torrada	VERB
torre	VERB
tosse	VERB
tossir	NOUN
trabalhador	NOUN
trabalhar	VERB
trabalho	NOUN
tragédia	VERB
trajeto	NOUN
trancar	VERB
trânsito	NOUN
tratar	VERB
travão	NOUN
travessia	NOUN
trazer	VERB
treinar	VERB
triste	VERB
trocar	VERB
troco	VERB
turista	ADJ
último	ADJ
um	DET
uma	DET
uns	DET
usar	VERB
útil	ADJ
uva	NOUN
vaca	ADJ
vagão	VERB
vale	VERB
válido	ADV
vários	DET
varrer	VERB
vaso	NOUN
vazio	ADJ
vela	NOUN
velho	ADJ
vendedor	ADJ
ventoso	ADJ
ver	VERB
veraneio	NOUN
verdadeiramente	ADV
verde	ADJ
vermelho	ADJ
vespa	VERB
vestiário	ADJ
vestido	VERB
vestirse	VERB
veterinário	NOUN
via	VERB
viagem	NOUN
viajante	ADV
viajar	VERB
vida	NOUN
videojogo	NOUN
vidro	VERB
vinagre	VERB
violino	NOUN
vir	VERB
visita	NOUN
visitar	VERB
vista	VERB
vitela	NOUN
vivenda	ADJ
viver	VERB
vivo	ADJ
vizinho	NOUN
voar	VERB
voltar	VERB
voo	SYM
vovô	VERB
xadrez	NOUN
zangado	VERB
