Category,Sentence,Pattern,Highlights
Connecting words,but he kept peeing in the pool! [Together] Eeuuww!,clause + and/but/because + clause,"{""special"": [""but""]}"
Prepositions,but he kept peeing in the pool! [Together] Eeuuww!,noun + preposition + noun,"{""special"": [""in""]}"
Past simple,"So the pigs were like, “Stop peeing in our pool, mate!",Pronouns + verb (past),"{""verbs"": [""were""]}"
Present continuous,"So the pigs were like, “Stop peeing in our pool, mate!",be + verb-ing,"{""verbs"": [""peeing""], ""special"": [""were""]}"
Prepositions,"So the pigs were like, “Stop peeing in our pool, mate!",noun + preposition + noun,"{""special"": [""in""]}"
Possessives,"So the pigs were like, “Stop peeing in our pool, mate!",possessive + noun,"{""special"": [""our""]}"
Present simple,It’s lemonade and we're trying to drink it!”,Subject + verb (present),"{""verbs"": [""\u2019s"", ""'re""]}"
Present continuous,It’s lemonade and we're trying to drink it!”,be + verb-ing,"{""verbs"": [""trying""], ""special"": [""'re""]}"
Connecting words,It’s lemonade and we're trying to drink it!”,clause + and/but/because + clause,"{""special"": [""and""]}"
Past simple,"But really, even if it wasn't lemonade,",Pronouns + verb (past),"{""verbs"": [""was""]}"
To be,"But really, even if it wasn't lemonade,",Subject + to be,"{""special"": [""was""]}"
Connecting words,"But really, even if it wasn't lemonade,",clause + and/but/because + clause,"{""special"": [""But""]}"
Present simple,It's full of nitrates,Subject + verb (present),"{""verbs"": [""'s""]}"
To be,It's full of nitrates,Subject + to be,"{""special"": [""'s""]}"
Going to,and now we're going to have to put heaps of algicide in.,be + going + to + verb,"{""verbs"": [""have""], ""special"": [""going"", ""to""]}"
Present continuous,and now we're going to have to put heaps of algicide in.,be + verb-ing,"{""verbs"": [""going""], ""special"": [""'re""]}"
Connecting words,and now we're going to have to put heaps of algicide in.,clause + and/but/because + clause,"{""special"": [""and""]}"
Prepositions,and now we're going to have to put heaps of algicide in.,noun + preposition + noun,"{""special"": [""in""]}"
Past simple,"But the Big Bad Wolf kept saying,",Pronouns + verb (past),"{""verbs"": [""kept""]}"
Connecting words,"But the Big Bad Wolf kept saying,",clause + and/but/because + clause,"{""special"": [""But""]}"
Past simple,"“Look, I didn’t pee in the pool!”",Pronouns + verb (past),"{""verbs"": [""did""]}"
Prepositions,"“Look, I didn’t pee in the pool!”",noun + preposition + noun,"{""special"": [""in""]}"
Present simple,"And the pigs are like,",Subject + verb (present),"{""verbs"": [""are""]}"
To be,"And the pigs are like,",Subject + to be,"{""special"": [""are""]}"
Connecting words,"And the pigs are like,",clause + and/but/because + clause,"{""special"": [""And""]}"
Past simple,"“Yeah, you did,” and he’s like,",Pronouns + verb (past),"{""verbs"": [""did""]}"
Connecting words,"“Yeah, you did,” and he’s like,",clause + and/but/because + clause,"{""special"": [""and""]}"
Present simple,"“Nah-ah, I don't do that sort of thing.",Subject + verb (present),"{""verbs"": [""do""]}"
Present simple,It's against my religion.”,Subject + verb (present),"{""verbs"": [""'s""]}"
To be,It's against my religion.”,Subject + to be,"{""special"": [""'s""]}"
Possessives,It's against my religion.”,possessive + noun,"{""special"": [""my""]}"
Past simple,"So the next day, they put the stuff in the pool",Pronouns + verb (past),"{""verbs"": [""put""]}"
Prepositions,"So the next day, they put the stuff in the pool",noun + preposition + noun,"{""special"": [""in""]}"
Present simple,that makes lemonade turn purple if you pee in it.,Subject + verb (present),"{""verbs"": [""makes"", ""pee""]}"
Prepositions,that makes lemonade turn purple if you pee in it.,noun + preposition + noun,"{""special"": [""in""]}"
Directions,that makes lemonade turn purple if you pee in it.,verb + direction,"{""special"": [""turn""]}"
Past simple,They didn't tell this to the Big Bad Wolf.,Pronouns + verb (past),"{""verbs"": [""did""]}"
Connecting words,"And he’s there swimming, eating some couscous,",clause + and/but/because + clause,"{""special"": [""And""]}"
Present simple,Then he goes all quiet and stares into space for a second,Subject + verb (present),"{""verbs"": [""goes""]}"
Connecting words,Then he goes all quiet and stares into space for a second,clause + and/but/because + clause,"{""special"": [""and""]}"
Prepositions,with this sort of faraway look in his eyes.,noun + preposition + noun,"{""special"": [""in""]}"
Possessives,with this sort of faraway look in his eyes.,possessive + noun,"{""special"": [""his""]}"
Present simple,"And the kids are like, “Here we go... ”",Subject + verb (present),"{""verbs"": [""are"", ""go""]}"
To be,"And the kids are like, “Here we go... ”",Subject + to be,"{""special"": [""are""]}"
Connecting words,"And the kids are like, “Here we go... ”",clause + and/but/because + clause,"{""special"": [""And""]}"
Present simple,And suddenly the lemonade turns purple around him,Subject + verb (present),"{""verbs"": [""turns""]}"
Connecting words,And suddenly the lemonade turns purple around him,clause + and/but/because + clause,"{""special"": [""And""]}"
Present simple,"and the pigs are like,",Subject + verb (present),"{""verbs"": [""are""]}"
To be,"and the pigs are like,",Subject + to be,"{""special"": [""are""]}"
Connecting words,"and the pigs are like,",clause + and/but/because + clause,"{""special"": [""and""]}"
Present simple,"“Ah, see! You’re a grub!”",Subject + verb (present),"{""verbs"": [""\u2019re""]}"
Past simple,So the wolf was really embarrassed and he ran out crying,Pronouns + verb (past),"{""verbs"": [""was"", ""ran""]}"
Present continuous,So the wolf was really embarrassed and he ran out crying,be + verb-ing,"{""verbs"": [""crying""], ""special"": [""was""]}"
Connecting words,So the wolf was really embarrassed and he ran out crying,clause + and/but/because + clause,"{""special"": [""and""]}"
Past simple,and they never saw him again.,Pronouns + verb (past),"{""verbs"": [""saw""]}"
