word,category
have to,verbs irregular
get on,verbs irregular
get off,verbs irregular
add,verbs regular
answer,verbs regular
ask,verbs regular
bounce,verbs regular
clap,verbs regular
clean,verbs regular
close,verbs regular
colour,verbs regular
complete,verbs regular
count,verbs regular
cross,verbs regular
enjoy,verbs regular
jump,verbs regular
kick,verbs regular
like,verbs regular
listen,verbs regular
live,verbs regular
look,verbs regular
call,verbs regular
carry,verbs regular
look at,verbs regular
love,verbs regular
open,verbs regular
paint,verbs regular
phone,verbs regular
pick up,verbs regular
play,verbs regular
point,verbs regular
show,verbs regular
smile,verbs regular
start,verbs regular
stop,verbs regular
talk,verbs regular
tick,verbs regular
try,verbs regular
walk,verbs regular
want,verbs regular
watch,verbs regular
wave,verbs regular
change,verbs regular
climb,verbs regular
cook,verbs regular
cry,verbs regular
dance,verbs regular
dream,verbs regular
dress up,verbs regular
drop,verbs regular
dry,verbs regular
email,verbs regular
fish,verbs regular
fox,verbs regular
help,verbs regular
hop,verbs regular
invite,verbs regular
laugh,verbs regular
hide,verbs regular
hurt,verbs regular
lose,verbs regular
mean,verbs regular
must,verbs regular
put on,verbs regular
send,verbs regular
take,verbs regular
take off,verbs regular
undressed,verbs regular
teach,verbs regular
think,verbs regular
look for,verbs regular
move,verbs regular
need,verbs regular
plant,verbs regular
practise,verbs regular
rain,verbs regular
sail,verbs regular
shop,verbs regular
shout,verbs regular
skate,verbs regular
skip,verbs regular
snow,verbs regular
text,verbs regular
travel,verbs regular
video,verbs regular
wait,verbs regular
wash,verbs regular
water,verbs regular
work,verbs regular
can ,Modals 
could,Modals 
must,Modals 
shall,Modals 
would,Modals 
how,Question words 
how many,Question words 
how old,Question words 
pardon,Question words 
what,Question words 
where,Question words 
which,Question words 
who,Question words 
whose,Question words 
how much,Question words 
how often,Question words 
when,Question words 
why,Question words 
one,number
two,number
three,number
four,number
five,number
six,number
seven,number
eight,number
nine,number
ten,number
eleven,number
twelve,number
thirteen,number
fourteen,number
fifteen,number
sixteen,number
seventeen,number
eighteen,number
nineteen,number
twenty,number
twenty-one,number
twenty-two,number
twenty-three,number
twenty-four,number
twenty-five,number
twenty-six,number
twenty-seven,number
twenty-eight,number
twenty-nine,number
thirty,number
thirty-one,number
thirty-two,number
thirty-three,number
thirty-four,number
thirty-five,number
thirty-six,number
thirty-seven,number
thirty-eight,number
thirty-nine,number
forty,number
forty-one,number
forty-two,number
forty-three,number
forty-four,number
forty-five,number
forty-six,number
forty-seven,number
forty-eight,number
forty-nine,number
fifty,number
fifty-one,number
fifty-two,number
fifty-three,number
fifty-four,number
fifty-five,number
fifty-six,number
fifty-seven,number
fifty-eight,number
fifty-nine,number
sixty,number
sixty-one,number
sixty-two,number
sixty-three,number
sixty-four,number
sixty-five,number
sixty-six,number
sixty-seven,number
sixty-eight,number
sixty-nine,number
seventy,number
seventy-one,number
seventy-two,number
seventy-three,number
seventy-four,number
seventy-five,number
seventy-six,number
seventy-seven,number
seventy-eight,number
seventy-nine,number
eighty,number
eighty-one,number
eighty-two,number
eighty-three,number
eighty-four,number
eighty-five,number
eighty-six,number
eighty-seven,number
eighty-eight,number
eighty-nine,number
ninety,number
